state,February 2023 rate,Historical High Date,Historical High Rate,Historical Low Date,Historical Low Rate
Date,,,,,
Alabama,2.3,Jan. 1983,14.9,Mar. 2023,2.3
Alaska,3.7,May 2020,11.9,Aug. 2022,3.6
Arizona,3.5,Apr. 2020,13.8,Mar. 2023,3.5
Arkansas,3.0,Apr. 2020,10.1,Mar. 2023,3.0
California,4.4,Apr. 2020,16.1,Aug. 2022,3.8
Colorado,2.8,May 2020,11.6,May 2017,2.4
Connecticut,4.0,May 2020,11.7,Aug. 2000,2.0
Delaware,4.4,May 2020,13.4,May 1988,2.8
District of Columbia,4.8,Mar. 1983,11.3,Aug. 2022,3.9
Florida,2.6,May 2020,14.1,June 2006,2.4
Georgia,3.1,Apr. 2020,12.4,May 2022,2.9
Hawaii,3.5,Apr. 2020,22.6,Dec. 2017,1.9
Idaho,2.6,Apr. 2020,11.7,May 2022,2.5
Illinois,4.4,Apr. 2020,18.0,Dec. 2019,3.6
Indiana,3.1,Apr. 2020,16.8,Apr. 2022,2.8
Iowa,2.8,Apr. 2020,10.9,Apr. 2022,2.3
Kansas,2.9,Apr. 2020,12.4,Apr. 2022,2.4
Kentucky,3.8,Apr. 2020,16.7,Mar. 2023,3.8
Louisiana,3.6,Apr. 2020,13.5,Jan. 2023,3.5
Maine,2.6,May 2020,9.4,Mar. 2023,2.6
Maryland,2.7,Apr. 2020,9.0,Mar. 2023,2.7
Massachusetts,3.5,Apr. 2020,16.9,Nov. 2000,2.7
Michigan,4.1,Apr. 2020,22.6,Feb. 2000,3.2
Minnesota,2.8,May 2020,11.1,Apr. 2022,2.3
Mississippi,3.5,Apr. 2020,15.6,Mar. 2023,3.5
Missouri,2.5,Apr. 2020,11.4,June 2022,2.1
Montana,2.3,Apr. 2020,11.9,Mar. 2023,2.3
Nebraska,2.1,Apr. 2020,8.1,Apr. 2022,2.0
Nevada,5.5,Apr. 2020,30.6,Feb. 1999,3.8
New Hampshire,2.4,Apr. 2020,16.0,Apr. 2022,2.1
New Jersey,3.5,May 2020,15.3,Aug. 2022,3.0
New Mexico,3.5,Mar. 1983,10.5,Aug. 2022,3.4
New York,4.1,May 2020,16.6,June 2019,3.7
North Carolina,3.5,Apr. 2020,14.2,Mar. 1999,3.1
North Dakota,2.1,Apr. 2020,8.7,Aug. 2022,2.0
Ohio,3.8,Apr. 2020,16.4,Mar. 2023,3.8
Oklahoma,3.0,Apr. 2020,12.5,Apr. 2022,2.8
Oregon,4.4,Apr. 2020,13.7,Dec. 2019,3.4
Pennsylvania,4.2,Apr. 2020,16.2,Apr. 2000,4.1
Rhode Island,3.1,Apr. 2020,18.0,May 1988,2.7
South Carolina,3.2,Dec. 2009,12.1,Sept. 2019,2.4
South Dakota,1.9,Apr. 2020,8.8,Mar. 2023,1.9
Tennessee,3.4,Apr. 2020,15.8,June 2022,3.2
Texas,4.0,Apr. 2020,12.8,June 2019,3.4
Utah,2.4,Apr. 2020,10.0,May 2022,2.2
Vermont,2.7,Apr. 2020,14.0,June 2019,1.9
Virginia,3.2,Apr. 2020,12.0,Nov. 2000,2.1
Washington,4.5,Apr. 2020,16.6,Feb. 2020,3.8
West Virginia,3.4,Mar. 1983,18.4,Mar. 2023,3.4
Wisconsin,2.5,Apr. 2020,14.1,Mar. 2023,2.5
Wyoming,3.7,Jan. 1987,9.1,May 1979,2.3
,"
					",,,,
,"
					",,,,
